단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
009160,KR7009160003,SIMPAC,ST,3.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,4115,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,160035,500,19890729,65429,32714758000,12.0,,0,,N,N,Y,3493,159,147,106,3.63,20240630.0,2692,,N,N,N
009180,KR7009180001,한솔로지스틱스,ST,3.0,0,19,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2425,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,57749,500,19891113,28057,14630741000,12.0,,0,,N,N,Y,3403,134,141,88,14.39,20240630.0,680,,N,N,N
009190,KR7009190000,대양금속,ST,3.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1983,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,2177175,500,19940429,39693,19846660000,12.0,,0,,N,N,Y,2010,-25,-194,-386,-36.88,20231231.0,787,,N,N,N
009200,KR7009200007,무림페이퍼,ST,3.0,0,7,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2110,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,72027,2500,19900609,41609,104023275000,12.0,,0,,N,N,Y,6923,730,479,351,14.82,20240630.0,877,,N,N,N
009240,KR7009240003,한샘,ST,2.0,0,16,0,N,N,N,8,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,54200,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,28035,1000,20020716,23533,23533928000,12.0,,0,,N,N,Y,9639,201,622,621,33.66,20240630.0,12755,,N,N,N
009270,KR7009270000,신원,ST,3.0,0,6,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1194,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,150123,500,19880824,102586,51293178000,12.0,,0,,N,N,Y,4338,151,62,13,1.6,20240630.0,1224,,N,N,N
009290,KR7009290008,광동제약,ST,3.0,0,9,0,Y,N,N,0,N,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,5850,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,78277,1000,19891117,52420,52420851000,12.0,,0,,N,N,Y,8253,221,282,201,7.05,20240630.0,3066,,N,N,N
009310,KR7009310004,참엔지니어링,ST,3.0,0,12,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,389,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,138385,500,19871112,84867,42858708000,12.0,,0,,N,N,Y,370,-87,-54,-39,-9.15,20240630.0,330,,N,N,N
009320,KR7009320003,대우부품,ST,3.0,0,15,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,1099,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,24950,500,19890825,49299,24649885000,12.0,,0,,N,N,Y,617,16,-4,-4,-3.1,20240630.0,541,,N,N,N
009410,KR7009410002,태영건설,ST,2.0,0,18,0,N,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,Y,N,N,N,N,N,N,4620,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,19891113,287905,143952668500,12.0,,0,,N,N,Y,14367,720,256,156,-36100000.0,20240630.0,13301,844,N,N,N
009415,KR7009411000,태영건설우,ST,0.0,0,18,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,3,N,N,N,N,N,N,N,N,7130,1,1,Y,N,Y,0,N,N,N,0,0,0,100,N,90,0,500,19941122,649,324987000,12.0,,1,,N,N,N,0,0,0,0,0.0,,46,,N,N,N
009420,KR7009420001,한올바이오파마,ST,2.0,0,9,0,Y,N,N,A,N,N,Y,,N,N,N,N,Y,N,N,N,N,0,N,N,N,N,N,N,N,N,38000,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,905742,500,19891218,52240,26120319000,12.0,,0,,N,Y,Y,657,-29,-31,-36,-4.09,20240630.0,19851,,N,N,N
009440,KR7009440009,KC그린홀딩스,ST,3.0,0,21,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,852,1,1,N,N,Y,0,N,N,N,0,0,0,100,N,90,170230,500,19941105,22434,11217490000,12.0,,0,,N,N,Y,2753,-709,355,91,55.31,20240630.0,191,,N,N,N
009450,KR7009450008,경동나비엔,ST,2.0,0,13,0,Y,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,Y,N,N,N,N,N,N,70100,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,52832,1000,19930831,14568,14568592000,12.0,,0,,N,N,Y,6308,620,782,599,19.61,20240630.0,10212,,N,N,N
009460,KR7009460007,한창제지,ST,3.0,0,7,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,825,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,92412,500,19871223,59667,29833743000,12.0,,0,,N,N,Y,2760,-115,-170,-175,-17.37,20231231.0,492,,N,N,N
009470,KR7009470006,삼화전기,ST,3.0,0,13,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,44900,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,255848,1000,19861124,6613,6613820000,12.0,,0,,N,N,Y,1196,168,170,135,32.97,20240630.0,2969,,N,N,N
